"Position","Name","Salary","GameInfo","AvgPointsPerGame"
"SS","Ruben Tejada",2900,"NYM@Ari 09:40PM ET",3.727
"1B","Tommy Medica",2900,"Col@SD 10:10PM ET",1.429
"2B/SS","Cliff Pennington",2900,"NYM@Ari 09:40PM ET",4.429
"OF","Brandon Barnes",2900,"Col@SD 10:10PM ET",3.333
"C","Anthony Recker",2900,"NYM@Ari 09:40PM ET",7.500
"3B/SS","John McDonald",2800,"Oak@LAA 10:05PM ET",4.200
"2B/3B","Eric Sogard",2800,"Oak@LAA 10:05PM ET",4.556
"2B/SS","Nick Punto",2800,"Oak@LAA 10:05PM ET",4.714
"C","John Jaso",2700,"Oak@LAA 10:05PM ET",3.444
"1B","Daric Barton",2700,"Oak@LAA 10:05PM ET",2.200
"1B","Josh Satin",2700,"NYM@Ari 09:40PM ET",2.667
"SS","Chris Owings",2700,"NYM@Ari 09:40PM ET",5.000
"OF","Will Venable",2600,"Col@SD 10:10PM ET",3.083
"OF","Seth Smith",2600,"Col@SD 10:10PM ET",5.667
"2B/SS","Josh Rutledge",2600,"Col@SD 10:10PM ET",5.333
"OF","J.B. Shuck",2600,"Oak@LAA 10:05PM ET",11.333
"OF","Andrew Brown",2600,"NYM@Ari 09:40PM ET",5.400
"OF","Xavier Nady",2500,"Col@SD 10:10PM ET",3.500
"OF","Tony Campana",2400,"NYM@Ari 09:40PM ET",4.111
"OF","Gregor Blanco",2200,"LAD@SF 10:15PM ET",1.400
"C","Hector Sanchez",2200,"LAD@SF 10:15PM ET",2.000
"2B/SS","Omar Quintanilla",2200,"NYM@Ari 09:40PM ET",4.333
"OF","Juan Perez",2200,"LAD@SF 10:15PM ET",0.286
"1B/3B","Justin Turner",2200,"LAD@SF 10:15PM ET",2.143
"OF","Collin Cowgill",2200,"Oak@LAA 10:05PM ET",3.625
"2B","Ehire Adrianza",2200,"LAD@SF 10:15PM ET",1.300
"3B/OF","Chone Figgins",2200,"LAD@SF 10:15PM ET",1.571
"OF","Craig Gentry",2200,"Oak@LAA 10:05PM ET",0.000
"C","Nick Hundley",2200,"Col@SD 10:10PM ET",2.667
"C","Rene Rivera",2100,"Col@SD 10:10PM ET",1.200
"2B/3B","Joaquin Arias",2000,"LAD@SF 10:15PM ET",1.750
"C","Tim Federowicz",1800,"LAD@SF 10:15PM ET",1.250
"C","Tuffy Gosewisch",1800,"NYM@Ari 09:40PM ET",0.000
"C","Drew Butera",1800,"LAD@SF 10:15PM ET",4.000
